,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp (C),Wind Speed
303,Şuraabad,75,AZ,1612258848,87,40.8192,49.4687,10.0,10.29
304,Kalmunai,26,LK,1612258850,78,7.4167,81.8167,27.56,7.44
305,Kushima,20,JP,1612258629,29,31.4583,131.2333,10.0,10.29
306,Alice Springs,40,AU,1612258806,20,-23.7,133.8833,34.0,5.66
307,Guerrero Negro,100,MX,1612258853,68,27.9769,-114.0611,15.68,1.87
308,Tasiilaq,90,GL,1612258854,86,65.6145,-37.6368,-8.0,3.09
309,Sarnia,90,CA,1612258855,69,42.9787,-82.4041,-1.0,8.23
310,Sisimiut,89,GL,1612258857,88,66.9395,-53.6735,-20.0,4.04
311,Bull Savanna,0,JM,1612258858,84,17.8868,-77.5902,21.52,2.82
312,Funadhoo,1,MV,1612258859,78,6.15,73.2667,27.54,6.76
313,Gornyatskiy,100,RU,1612258860,71,48.2915,40.9575,8.56,5.8
314,Takelsa,20,TN,1612258861,67,36.7833,10.6333,17.0,4.12
315,Verkhoyansk,100,RU,1612258862,81,67.5447,133.385,-37.0,1.49
316,Bako,86,ET,1612258864,21,5.7833,36.5667,30.73,1.49
317,Karratha,100,AU,1612258864,82,-20.7377,116.8463,27.95,8.28
318,Mendoza,75,AR,1612258866,67,-32.8908,-68.8272,16.0,3.09
319,Harper,43,LR,1612258867,82,4.375,-7.7169,27.52,2.79
320,Barcelos,90,PT,1612258868,94,41.5388,-8.6151,13.0,9.26
321,Mossamedes,0,AO,1612258870,69,-15.1961,12.1522,24.0,6.17
322,Ţahţā,0,EG,1612258874,32,26.7693,31.5021,21.0,2.06
323,Rio Grande,0,BR,1612258875,99,-32.035,-52.0986,22.22,2.71
324,Kumul,53,CN,1612258879,67,42.8,93.45,1.59,2.32
325,İskilip,0,TR,1612258880,49,40.7353,34.4739,10.11,2.18
326,Jalu,44,LY,1612258883,35,29.0331,21.5482,19.54,3.36
327,Kieta,100,PG,1612258884,79,-6.2167,155.6333,27.54,5.23
328,Kantang,20,TH,1612258624,51,7.4054,99.5156,33.33,3.6
329,Loknya,99,RU,1612258886,95,56.83,30.1467,-4.87,3.1
330,Srīvardhan,0,IN,1612258887,36,18.0333,73.0167,30.44,5.49
331,Prince Rupert,90,CA,1612258888,93,54.3161,-130.3201,4.0,1.54
332,Vila Velha,20,BR,1612258889,94,-20.3297,-40.2925,23.33,1.03
333,Linkou,100,CN,1612258891,83,45.3,130.2833,-24.34,4.42
334,Vestmannaeyjar,75,IS,1612258892,93,63.4427,-20.2734,1.0,14.4
335,Newcastle,75,AU,1612258707,68,-32.9272,151.7765,21.67,4.63
336,Ca Mau,62,VN,1612258617,61,9.1769,105.15,27.8,4.0
337,Ghanzi,92,BW,1612258895,68,-21.5667,21.7833,25.59,2.58
338,Wajid,27,SO,1612258897,16,3.8093,43.2471,35.06,6.8
339,Hirado,20,JP,1612258898,56,33.3597,129.5531,5.0,9.26
340,Mackay,0,AU,1612258899,69,-21.15,149.2,27.0,3.09
341,Buraidah,40,SA,1612258900,38,26.326,43.975,23.0,6.17
342,Awjilah,65,LY,1612258904,35,29.1081,21.2869,19.31,2.75
343,Sheopur,0,IN,1612258906,13,25.6667,76.7,30.02,3.45
344,Ryōtsu-minato,75,JP,1612258907,75,38.0833,138.4333,1.0,9.26
345,Makaha,75,US,1612258912,100,21.4694,-158.2175,21.0,2.9
346,Mitsamiouli,81,KM,1612258913,67,-11.3847,43.2844,29.17,1.42
347,Nyaunglebin,10,MM,1612258914,14,17.95,96.7333,34.38,3.57
348,Arrondissement de Langres,90,FR,1612258915,93,47.8333,5.3333,10.0,7.72
